date,Open,High,Low,Close,Volume
10-12-2021,181.41,184.56,167.31,167.65,2118266396
11-12-2021,167.65,173.8,161.48,172.08,1877844189
12-12-2021,172.08,176.87,167.8,173,1196808540
13-12-2021,173,173,148.1,155.15,2547597256
14-12-2021,155.15,163.17,149.67,161.43,2604045117
15-12-2021,161.43,183.17,156.91,178.55,3783787658
16-12-2021,178.55,189.3,174.51,176.92,2766320569
17-12-2021,176.92,182.47,168.15,175.65,2711688386
18-12-2021,175.65,184.31,171.1,182.92,1690397976
19-12-2021,182.92,189.39,178.49,180.02,1678714066
20-12-2021,180.02,181.21,168.48,174.01,1982986558
21-12-2021,174.01,182.64,170.29,179.76,1821107818
22-12-2021,179.76,187.55,177.16,178.36,1889229699
23-12-2021,178.36,193.64,175.73,190.12,2191634326
24-12-2021,190.12,197.54,184.35,190.43,2286837232
25-12-2021,190.43,195.3,189.33,193.05,1443209769
26-12-2021,193.05,200.62,190.32,197.89,1971114647
27-12-2021,197.89,204.79,194.9,195.73,1800094698
28-12-2021,195.73,195.75,176.38,177.25,2826063568
29-12-2021,177.25,180.62,170.16,170.62,2175731146
30-12-2021,170.62,175.75,168.24,172.53,1540637869
31-12-2021,172.53,177.68,167.68,169.93,1567918820
01-01-2022,169.93,179.21,169.92,179.09,1084780603
02-01-2022,179.09,179.5,174.41,176.4,995389409
03-01-2022,176.4,176.48,166.68,170.08,1345778058
04-01-2022,170.08,173.83,166.49,167.75,1499265336
05-01-2022,167.75,171.28,145.02,154.36,2123759721
06-01-2022,154.36,154.76,146.02,150.23,2097172620
07-01-2022,150.23,150.64,133.79,136.39,2926269672
08-01-2022,136.39,148.04,133.01,142.11,2730000333
09-01-2022,142.11,145.65,137.88,140.77,1599123912
10-01-2022,140.77,143.75,130.06,135.86,2040883379
11-01-2022,135.86,143.51,133.65,140.25,1554197314
12-01-2022,140.25,153.26,138.27,151.51,2242337550
13-01-2022,151.51,157.85,145.59,146.2,2177023564
14-01-2022,146.2,150.62,142.04,146.18,1822320951
15-01-2022,146.18,149.59,144.08,147.74,1123271784
16-01-2022,147.74,151.96,146.22,147.96,1172854751
17-01-2022,147.96,148.29,137.15,139.84,1487772250
18-01-2022,139.84,142.8,134.39,141.29,1449435942
19-01-2022,141.29,142.74,132.83,135.3,1444663456
20-01-2022,135.3,143.91,126.22,127.65,984099352
21-01-2022,127.65,129.09,106.16,112.47,3771688473
22-01-2022,112.47,114.1,88.1,94.68,4039466376
23-01-2022,94.68,104.74,93.34,99.81,2548191912
24-01-2022,99.81,99.89,80.79,91.99,4664539688
25-01-2022,91.99,100.01,87.48,94.65,2842652332
26-01-2022,94.65,104.39,89.32,92.14,3177186515
27-01-2022,92.14,94.62,85.71,89.56,2513945822
28-01-2022,89.56,93.54,87.23,91.36,2156098049
29-01-2022,91.36,98.94,90.54,96.16,1727329992
30-01-2022,96.16,97.58,91.45,93.32,1110338981
31-01-2022,93.32,101.39,89.12,99.54,1888454241
01-02-2022,99.54,113.72,99.08,110.09,3568466349
02-02-2022,110.09,112.45,96.96,101.89,3297984784
03-02-2022,101.89,103.17,94.12,101.9,2618951519
04-02-2022,101.9,112.89,100.39,112.58,3121470028
05-02-2022,112.58,118.68,110.33,113.82,2337469324
06-02-2022,113.82,116.12,111.67,115.33,1488437091
07-02-2022,115.33,121.97,112.8,117.57,2501444983
08-02-2022,117.57,120.32,109.78,113.42,2670414753
09-02-2022,113.42,117.2,109.41,114.04,1844036035
10-02-2022,114.04,114.97,105.79,106.18,2534257400
11-02-2022,106.18,108.36,95.2,96.52,2244853464
12-02-2022,96.52,99.87,92.91,95.96,1722515979
13-02-2022,95.96,97.39,91.42,92.9,1150014559
14-02-2022,92.9,97.95,90.83,96.43,1787236369
15-02-2022,96.43,105.83,96.39,105.54,2134576044
16-02-2022,105.54,105.63,98.33,101.94,1908954820
17-02-2022,101.94,102.84,92.39,93.58,1872498133
18-02-2022,93.58,96.43,89.36,89.93,1669246812
19-02-2022,89.93,92.73,88.71,91.31,1084605729
20-02-2022,91.31,93.94,85.69,90.75,1912980153
21-02-2022,90.75,96.16,82.73,82.99,2892900595
22-02-2022,82.99,87.59,81.06,86.44,2046554018
23-02-2022,86.44,93.34,84.44,84.61,2293962445
24-02-2022,84.61,92.69,75.43,89.41,5253578948
25-02-2022,89.41,95.05,86.88,92.84,3069242551
26-02-2022,92.84,95.16,89.29,90.29,1721041901
27-02-2022,90.29,92.23,84.18,85.66,2012522473
28-02-2022,85.66,102.36,84.21,99.75,3457872746
01-03-2022,99.75,101.88,94.39,98.65,3225742519
02-03-2022,98.65,106.37,96.85,100.75,3800592927
03-03-2022,100.75,101.71,94.1,95.6,2309311748
04-03-2022,95.6,95.88,87.03,88.24,2592829728
05-03-2022,88.24,91.15,86.08,89.61,1437161887
06-03-2022,89.61,89.9,84.19,84.55,1467561782
07-03-2022,84.55,86.58,79.99,81.88,2375648176
08-03-2022,81.88,84.98,81.39,82.31,2112765959
09-03-2022,82.31,89.75,82.03,88.07,2624860794
10-03-2022,88.07,88.61,80.99,82.93,2196400279
11-03-2022,82.93,84.28,80.09,80.67,1852734626
12-03-2022,80.67,82.72,80.64,81.41,1036290480
13-03-2022,81.41,83.17,77.92,78.76,1316842580
14-03-2022,78.76,82.23,78.07,81.26,1676601058
15-03-2022,81.26,85.88,78.91,82.85,1627848455
16-03-2022,82.85,87.99,81.55,87.84,2370877301
17-03-2022,87.84,90.99,86.68,87.88,2440062581
18-03-2022,87.88,91.99,84.53,89.81,2745357460
19-03-2022,89.81,94.55,89.3,92.41,1951674158
20-03-2022,92.41,92.53,87.97,88.6,1286133603
21-03-2022,88.6,91.22,86.92,88.65,1598537312
22-03-2022,88.65,93.96,88.05,90.47,1879747152
23-03-2022,90.47,96.27,89.35,94.89,2099467745
24-03-2022,94.89,103.71,93.53,102.39,3601646600
25-03-2022,102.39,104.86,97.12,98.65,2175497007
26-03-2022,98.65,103.39,97.72,101.79,1282869612
27-03-2022,101.79,107.44,98.89,107.08,1572329892
28-03-2022,107.08,113.84,105.22,105.93,2877146388
29-03-2022,105.93,115.65,105.61,111.78,3052274877
30-03-2022,111.78,124.56,107.16,120.64,3908170428
31-03-2022,120.64,129.36,120.01,122.84,4115229587
01-04-2022,122.84,138.44,117.78,134.54,4434807484
02-04-2022,134.54,143.54,131.44,132.51,3394186456
03-04-2022,132.51,140.98,130.68,136.91,2585967812
04-04-2022,136.91,138.28,125.91,132.13,2828117206
05-04-2022,132.13,136.63,126.09,126.83,2239922210
06-04-2022,126.83,127.39,112.16,112.99,3281009143
07-04-2022,112.99,119.96,110.96,118.6,2431083313
08-04-2022,118.6,122.41,108.15,109.97,2376864565
09-04-2022,109.97,113.67,108.32,112.96,1202250516
10-04-2022,112.96,116.04,109.8,111.02,1280232450
11-04-2022,111.02,111.94,98.2,99.65,2272498194
12-04-2022,99.65,109.36,98.41,103.26,2317008207
13-04-2022,103.26,106,100.12,104.97,1675840412
14-04-2022,104.97,107.7,99.04,100.77,1686576071
15-04-2022,100.77,102.88,99.57,101.35,1050639351
16-04-2022,101.35,103.48,100.81,102.1,774939305
17-04-2022,102.1,105.44,99.68,100.18,1057908299
18-04-2022,100.18,102.66,94.85,102.37,1846133932
19-04-2022,102.37,108.82,101.06,108.61,1711909607
20-04-2022,108.61,110.91,104.35,105.59,1761531528
21-04-2022,105.59,109.98,100.03,101.77,1838571747
22-04-2022,101.77,103.55,99.23,100.54,1274793594
23-04-2022,100.54,102.89,98.37,100.61,823252482
24-04-2022,100.61,102.25,98.64,99.23,818266008
25-04-2022,99.23,101.58,94.35,100.99,1538486689
26-04-2022,100.99,101.98,94.68,95.71,1301074534
27-04-2022,95.71,100.76,94.93,98.34,1253566599
28-04-2022,98.34,100.54,96.35,98.22,1307131609
29-04-2022,98.22,98.64,92.34,93.93,1234575023
30-04-2022,93.93,94.93,82.03,84.65,1293033765
01-05-2022,84.65,93.11,84.17,89.68,1426749080
02-05-2022,89.68,90.86,85.08,87.47,1265220129
03-05-2022,87.47,88.78,84.64,85.84,1011988792
04-05-2022,85.84,93.03,85.46,92.75,1428455342
05-05-2022,92.75,95.17,81.42,84.51,1805979399
06-05-2022,84.51,84.75,79.94,81.65,1585081920
07-05-2022,81.65,82.27,77.19,78.83,1139093165
08-05-2022,78.83,79.34,73.71,75.31,1439700868
09-05-2022,75.31,77.19,61.79,62.11,2773999164
10-05-2022,62.11,74.03,60.24,66.85,3677013066
11-05-2022,66.85,68.35,43.12,50.82,4432811558
12-05-2022,50.82,53.97,35.95,44.58,4471167155
13-05-2022,44.58,56.27,43.83,48.86,2854210432
14-05-2022,48.86,53.7,45.87,52.34,2042138537
15-05-2022,52.34,59.19,49.59,58.74,1843835578
16-05-2022,58.74,58.75,51.87,53.69,2067312217
17-05-2022,53.69,58.14,53.03,57.02,1823895389
